schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic_log1p,5,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,7.5099919411043325,0.8179668616716876,240
condmarg,entropic_log1p,5,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,240
condmarg,entropic_log1p,5,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,4.444398870544683,0.7666088295698059,240
condmarg,entropic_log1p,5,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,86.52565591573718,1.3532411797306358,240
condmarg,entropic,10,ATLAS,All,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,87.04093505541483,1.5288592234948455,240
condmarg,entropic,10,ATLAS,All,Entropic,Entropic · cond-marg,diversity,Diversity,higher,3.8457996350402635,0.5635558626200212,240
condmarg,entropic,10,ATLAS,All,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,3.8457996350402635,0.5635558626200212,240
condmarg,entropic,10,ATLAS,All,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,240
condmarg,entropic,10,ATLAS,All,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,8.888682711893246,1.5307851137715,240
condmarg,entropic,10,ATLAS,All,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.34139509042107,1.3389687492536106,240
condmarg,entropic_log1p,10,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,96.96428594589233,0.22708070365307953,240
condmarg,entropic_log1p,10,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,8.676944811145464,0.9130348094037383,240
condmarg,entropic_log1p,10,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,8.676944811145464,0.9130348094037383,240
condmarg,entropic_log1p,10,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,240
condmarg,entropic_log1p,10,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,8.881932652298808,1.532012083272221,240
condmarg,entropic_log1p,10,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,88.26605758905409,1.1796958932072066,240
condmarg,entropic,25,ATLAS,All,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,85.22875775098801,1.731633840617101,240
condmarg,entropic,25,ATLAS,All,Entropic,Entropic · cond-marg,diversity,Diversity,higher,2.268205546494573,0.4223812390734034,240
condmarg,entropic,25,ATLAS,All,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,2.268205546494573,0.4223812390734034,240
condmarg,entropic,25,ATLAS,All,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,240
condmarg,entropic,25,ATLAS,All,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,22.232368384004317,3.8302582144734467,240
condmarg,entropic,25,ATLAS,All,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,86.94485673141486,1.4321793154936853,240
condmarg,entropic_log1p,25,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,97.27451114654541,0.10497904843045369,240
condmarg,entropic_log1p,25,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,9.76381356914838,0.9704880549383272,240
condmarg,entropic_log1p,25,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,9.76381356914838,0.9704880549383272,240
condmarg,entropic_log1p,25,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,240
condmarg,entropic_log1p,25,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,22.201413929419264,3.830385382461668,240
condmarg,entropic_log1p,25,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,89.08972909625372,1.0274188830157291,240
condmarg,entropic,5,ATLAS,Short,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,97.26476249694824,0.07625071517260415,5
